"instance","w","h","lots","land_cells","river_cells","preserve_cells","aptitude_classes","connected_components","batch_size","crossover_rate","keep_rate","new_rate","time","generations","seed","num_new_solutions","num_crossovers","num_mutations","num_solutions_explored","generation_best","time_to_best","time_avg","time_std_dev","time_initial","value_best","value_worst","value_avg","value_std_dev","value_initial","max_area_best","max_area_worst","max_area_avg","max_area_std_dev","max_area_initial","min_area_best","min_area_worst","min_area_avg","min_area_std_dev","min_area_initial","rivers_best","rivers_worst","rivers_avg","rivers_std_dev","rivers_initial","river_violations_best","river_violations_worst","river_violations_avg","river_violations_std_dev","river_violations_initial","size_ratio_best","size_ratio_worst","size_ratio_avg","size_ratio_std_dev","size_ratio_initial","convexity_best","convexity_worst","convexity_avg","convexity_std_dev","convexity_initial","num_empty_crossover_lots","num_disconnected_crossover_lots","num_empty_mutation_lots","num_disconnected_mutation_lots"
"200x200k20s45221",200,200,20,37196,2241,563,5,7,512,0,0,1,600,7689,14089885878910257152,7690,0,0,7690,292,23.42,0.08,0,0.08,35242.01,35242.01,34640.34,12457.45,37142.79,210,210,947.82,258.75,1019,2557,2557,3467.33,781.12,3622,632,632,8332.38,3806.2,11539,4,4,10.2,2.22,11,12.18,12.18,4.3,3.89,3.55,1.24,1.24,1.23,0.03,1.2,0,0,0,0
"200x200k20s45221",200,200,20,37196,2241,563,5,7,1024,0,0,1,600,10438,14040830490570846208,10439,0,0,10439,5204,298.62,0.06,0,0.06,18846.96,18846.96,38044.6,12787.79,37307.44,1014,1014,863.86,266.91,840,2257,2257,3571.95,839.73,3426,535,535,9561.87,3947.44,7518,3,3,10.33,2.06,8,2.23,2.23,5.17,5.66,4.08,1.18,1.18,1.18,0.03,1.19,0,0,0,0
"200x200k20s45221",200,200,20,37196,2241,563,5,7,2048,0,0,1,600.02,13037,1.40900219625e+19,13038,0,0,13038,6919,312.15,0.05,0,0.05,49035.16,49035.16,42942.79,12105.09,35045.56,592,592,741.37,245.99,787,3494,3494,3698.86,819.7,2885,388,388,11324.54,4033.93,9501,2,2,10.47,1.94,11,5.9,5.9,6.27,5.74,3.67,1.16,1.16,1.16,0.02,1.14,0,0,0,0
"200x200k20s45221",200,200,20,37196,2241,563,5,7,4096,0,0,1,600.01,14932,14090022450101364736,14933,0,0,14933,6728,268.01,0.04,0,0.05,34198.94,34198.94,43272.69,11915.65,50570.61,530,530,734.49,244.96,427,2941,2941,3698.61,841.37,4129,142,142,11533.14,3970.45,10459,2,2,10.5,1.89,9,5.55,5.55,6.37,6.19,9.67,1.15,1.15,1.15,0.02,1.15,0,0,0,0
"200x200k40s45221",200,200,40,37196,2241,563,5,7,32,0,0,1,600,383,14089871511561873408,384,0,0,384,126,199.38,1.56,0.17,1.63,13713.1,13713.1,20226.54,6234.26,19564.54,618,618,404.93,104.66,343,1630,1630,2008.97,505.89,1642,699,699,6037.94,3012.93,3649,10,10,15.09,2.75,12,2.64,2.64,5.53,2.78,4.79,1.44,1.44,1.48,0.06,1.43,0,0,0,0
"200x200k40s45221",200,200,40,37196,2241,563,5,7,64,0,0,1,600,974,1.409864538478e+19,975,0,0,975,786,483.52,0.62,0.06,0.55,12579.62,12579.62,18965.23,5209.34,27070.85,442,442,417.75,109.05,232,2001,2001,1863.53,359.34,2261,531,531,6195.15,2916.22,10776,12,12,15.42,2.77,18,4.53,4.53,5.02,2.89,9.75,1.51,1.51,1.45,0.05,1.51,0,0,0,0
"200x200k40s45221",200,200,40,37196,2241,563,5,7,128,0,0,1,600,2065,14089933243319285760,2066,0,0,2066,1575,457.69,0.29,0.02,0.27,8475.51,8475.51,18662.84,5153.78,19930.53,502,502,424.76,107.88,289,1702,1702,1891.23,352.35,1848,655,655,6560,3123.34,4915,10,10,16.14,3.12,16,3.39,3.39,4.95,2.44,6.39,1.32,1.32,1.39,0.04,1.4,0,0,0,0
"200x200k40s45221",200,200,40,37196,2241,563,5,7,256,0,0,1,600.01,3990,14088579066410149888,3991,0,0,3991,729,110.93,0.15,0.01,0.14,10944.33,10944.33,19172.55,5175.8,13532.68,326,326,413.65,109.27,477,1369,1369,1947.2,381.01,1393,938,938,7527.31,3070.15,6051,6,6,17.54,2.95,21,4.2,4.2,5.39,5.59,2.92,1.32,1.32,1.31,0.03,1.34,0,0,0,0
"200x200k40s45221",200,200,40,37196,2241,563,5,7,512,0,0,1,600.02,6458,14088545707886372864,6459,0,0,6459,4816,454.05,0.09,0.01,0.1,8452.52,8452.52,18886.13,5023.81,15251.46,414,414,412.85,111.45,417,1479,1479,1943.89,397.88,1496,1093,1093,8195.94,2709.08,7373,8,8,17.81,2.47,15,3.57,3.57,5.41,4.13,3.59,1.24,1.24,1.24,0.02,1.27,0,0,0,0
"200x200k40s45221",200,200,40,37196,2241,563,5,7,1024,0,0,1,600.02,9235,14089871462584567808,9236,0,0,9236,7276,476.2,0.06,0.01,0.07,9609.11,9609.11,19949.21,4991.02,14486.45,538,538,386.38,112.86,535,1581,1581,2003.79,422.65,2123,1691,1691,9156.98,2685.53,7030,8,8,18,2.25,19,2.94,2.94,6.05,3.98,3.97,1.17,1.17,1.19,0.02,1.16,0,0,0,0
"200x200k40s45221",200,200,40,37196,2241,563,5,7,2048,0,0,1,600,10928,14098580569317730304,10929,0,0,10929,1037,57.96,0.05,0,0.07,14454.02,14454.02,21701.48,4801.25,22896.83,290,290,325.92,109.34,370,1667,1667,2070.04,419.99,1732,2268,2268,10366.72,2714.23,13842,9,9,17.85,2.07,20,5.75,5.75,7.66,5.78,4.68,1.16,1.16,1.16,0.01,1.13,0,0,0,0
"200x200k40s45221",200,200,40,37196,2241,563,5,7,4096,0,0,1,600,14110,14089903873521559552,14111,0,0,14111,6334,270.39,0.04,0,0.05,14923.54,14923.54,22971.92,4432.82,25055.72,560,560,297.59,101.29,342,1615,1615,2096.43,407.71,1942,3199,3199,11207.38,2488.1,12906,11,11,17.76,1.9,18,2.88,2.88,8.51,6.4,5.68,1.15,1.15,1.14,0.01,1.16,0,0,0,0
"200x200k60s45221",200,200,60,37196,2241,563,5,7,32,0,0,1,600,310,14088443950588862464,311,0,0,311,22,45.5,1.93,0.18,2,9449.9,9449.9,14726.05,3437.35,13930.3,307,307,249.3,60.98,220,1092,1092,1494.52,390.36,1254,1403,1403,5883.14,2574.25,6602,17,17,21.14,3.32,24,3.56,3.56,6.64,3.43,5.7,1.46,1.46,1.45,0.04,1.48,0,0,0,0
"200x200k60s45221",200,200,60,37196,2241,563,5,7,64,0,0,1,600.01,782,14089916927282216960,783,0,0,783,762,585.62,0.77,0.07,0.87,6381.61,6381.61,13831.71,3263.64,9463.63,384,384,250.91,66.95,271,1153,1153,1385.5,282.87,1081,533,533,6016.14,2742.8,2566,15,15,21.17,3.47,16,3,3,6.4,4.56,3.99,1.37,1.37,1.42,0.04,1.38,0,0,0,0
"200x200k60s45221",200,200,60,37196,2241,563,5,7,128,0,0,1,600,1740,1.4088579456611e+19,1741,0,0,1741,1395,480.74,0.34,0.03,0.35,5815.5,5815.5,13610.73,3111.09,13956,266,266,251.13,66.6,251,957,957,1362.39,269.3,1309,1255,1255,6648.7,2692.05,9334,15,15,22.57,3.47,27,3.6,3.6,6.23,4.94,5.22,1.38,1.38,1.38,0.03,1.31,0,0,0,0
"200x200k60s45221",200,200,60,37196,2241,563,5,7,256,0,0,1,600,3377,14040820726536128512,3378,0,0,3378,3134,556.77,0.18,0.01,0.18,6746.65,6746.65,13605.94,3161.55,11873.76,340,340,251.89,66,331,919,919,1389.96,302.78,1133,1343,1343,7463.35,2580,5522,11,11,24.3,3.32,24,2.7,2.7,6.25,3.78,3.42,1.28,1.28,1.32,0.03,1.39,0,0,0,0
"200x200k60s45221",200,200,60,37196,2241,563,5,7,512,0,0,1,600,5657,14090022663721111552,5658,0,0,5658,2115,224.81,0.11,0.01,0.1,9393.48,9393.48,13199.38,3041.9,10989.9,275,275,251.65,68.46,219,1306,1306,1388.53,319.25,1194,1678,1678,7658.76,2268.68,5959,15,15,23.99,2.9,22,4.75,4.75,6.26,3.87,5.45,1.25,1.25,1.25,0.02,1.28,0,0,0,0
"200x200k60s45221",200,200,60,37196,2241,563,5,7,1024,0,0,1,600.01,7862,14090004288975276032,7863,0,0,7863,7031,537.39,0.08,0,0.09,8882.87,8882.87,13481.61,3017.93,11168.95,207,207,240.08,70.13,296,1018,1018,1398.38,323.26,1452,2712,2712,8336.2,2149.29,7888,16,16,23.62,2.63,30,4.92,4.92,6.78,4.89,4.91,1.2,1.2,1.2,0.02,1.18,0,0,0,0
"200x200k60s45221",200,200,60,37196,2241,563,5,7,2048,0,0,1,600,10012,14088423330870304768,10013,0,0,10013,1471,90.94,0.06,0,0.07,7907.54,7907.54,14362.24,2868.02,14628.14,196,196,208.07,68.21,226,992,992,1443.83,324.3,1502,1863,1863,9285.97,2156.69,7156,15,15,23.33,2.43,21,5.06,5.06,8.23,5.45,6.65,1.17,1.17,1.17,0.01,1.16,0,0,0,0
"200x200k60s45221",200,200,60,37196,2241,563,5,7,4096,0,0,1,600.01,12793,14088394796287889408,12794,0,0,12794,471,20.01,0.05,0,0.05,9523.83,9523.83,15736.38,2646.83,14932.24,237,237,177.82,57.53,190,1028,1028,1486.74,319.72,1436,3325,3325,10291.21,1895.75,12583,17,17,23.03,2.18,25,4.34,4.34,9.87,9.13,7.56,1.14,1.14,1.14,0.01,1.14,0,0,0,0
"200x200k80s45221",200,200,80,37196,2241,563,5,7,32,0,0,1,600,265,14088551498917670912,266,0,0,266,96,218.64,2.26,0.18,2.2,7321.77,7321.77,11634.11,2479.06,11239.83,232,232,176.25,46.41,154,954,954,1230.22,375.06,1102,1571,1571,6065.28,2407.62,7972,17,17,26.85,3.74,33,4.11,4.11,7.71,4.11,7.16,1.38,1.38,1.43,0.03,1.47,0,0,0,0
"200x200k80s45221",200,200,80,37196,2241,563,5,7,64,0,0,1,600,665,14098574391550156800,666,0,0,666,140,127.82,0.9,0.07,0.96,6944.65,6944.65,10980.83,2229.86,10754.43,279,279,174.72,46.04,189,1020,1020,1133.9,261.56,935,623,623,6231.68,2491.17,7045,18,18,27.43,4.11,30,3.66,3.66,7.24,3.87,4.95,1.39,1.39,1.4,0.03,1.41,0,0,0,0
"200x200k80s45221",200,200,80,37196,2241,563,5,7,128,0,0,1,600,1513,14042687428679434240,1514,0,0,1514,795,316.78,0.4,0.03,0.42,4782.48,4782.48,10738.13,2280.35,12160.89,151,151,177.09,46.89,170,735,735,1100.96,255.4,1165,1273,1273,6517.49,2528.01,8050,15,15,28.29,4.04,31,4.87,4.87,6.95,3.54,6.85,1.35,1.35,1.37,0.03,1.35,0,0,0,0
"200x200k80s45221",200,200,80,37196,2241,563,5,7,256,0,0,1,600,3012,14090054454202292224,3013,0,0,3013,290,58.31,0.2,0.01,0.17,5532.19,5532.19,10598.32,2184.92,11831.62,255,255,175.21,48.3,166,883,883,1103.24,258.62,1315,1515,1515,7226.67,2320.03,5314,17,17,30.1,3.64,31,3.46,3.46,7.31,9.64,7.92,1.35,1.35,1.32,0.02,1.28,0,0,0,0
"200x200k80s45221",200,200,80,37196,2241,563,5,7,512,0,0,1,600.01,4960,1.4042700512376e+19,4961,0,0,4961,3574,432.85,0.12,0.01,0.13,6165.67,6165.67,10216.26,2095.49,9554.96,195,195,175.59,48.3,194,719,719,1086.23,254.49,1070,1763,1763,7375.05,1996.61,9183,16,16,29.71,3.17,32,3.69,3.69,7.04,4.45,5.52,1.22,1.22,1.26,0.02,1.25,0,0,0,0
"200x200k80s45221",200,200,80,37196,2241,563,5,7,1024,0,0,1,600,7177,14042706762769733632,7178,0,0,7178,1090,89.15,0.08,0,0.1,6306.32,6306.32,10097.89,2043.08,9281.29,177,177,171.09,49.33,113,1031,1031,1081.3,250.75,1015,2457,2457,7727.87,1847.39,4839,17,17,28.49,2.86,25,5.82,5.82,7.29,5.82,8.98,1.18,1.18,1.2,0.01,1.21,0,0,0,0
"200x200k80s45221",200,200,80,37196,2241,563,5,7,2048,0,0,1,600.01,9151,14098588464305534976,9152,0,0,9152,356,23.66,0.07,0,0.07,7354.48,7354.48,10636.24,1956.31,13158.58,246,246,152.41,48.16,110,768,768,1107.5,246.29,1922,3078,3078,8450.33,1792.92,12400,21,21,27.97,2.64,32,3.12,3.12,8.51,6.82,17.47,1.16,1.16,1.17,0.01,1.15,0,0,0,0
"200x200k80s45221",200,200,80,37196,2241,563,5,7,4096,0,0,1,600,11970,14042772847772727296,11971,0,0,11971,6561,324.38,0.05,0,0.05,8176.32,8176.32,11862.35,1836.64,10547.17,170,170,125.65,38.12,125,1080,1080,1154.99,242.5,1052,4049,4049,9423.34,1637.84,6962,24,24,27.67,2.57,25,6.35,6.35,10.52,6.14,8.42,1.15,1.15,1.15,0.01,1.12,0,0,0,0
"300x300k100s94113",300,300,100,81694,8189,117,6,4,32,0,0,1,600,59,14042703233354321920,60,0,0,60,23,243.97,10.09,0.75,11.01,17766.48,17766.48,17523.21,3054.32,12495.89,420,420,307.39,76.23,307,2028,2028,1685.49,263.32,1521,5291,5291,11563.42,3762,6424,24,24,29.81,3.51,29,4.83,4.83,6.54,6.2,4.95,1.49,1.49,1.47,0.04,1.49,0,0,0,0
"300x300k100s94113",300,300,100,81694,8189,117,6,4,64,0,0,1,600,146,14042706647265857536,147,0,0,147,35,150.69,4.09,0.31,4.08,12518.43,12518.43,17011.9,3172.84,14845.77,464,464,308.38,72.36,326,1264,1264,1642.63,281.11,1493,5687,5687,12471.82,3769.11,8807,28,28,31.84,3.51,23,2.72,2.72,5.75,2.25,4.58,1.42,1.42,1.43,0.03,1.44,0,0,0,0
"300x300k100s94113",300,300,100,81694,8189,117,6,4,128,0,0,1,600,352,14098574399523192832,353,0,0,353,267,457.62,1.7,0.13,1.67,12653.07,12653.07,16804.03,3204.61,18528.63,440,440,305.15,82.51,403,1274,1274,1636.23,282.91,2293,4108,4108,13548.38,4175.18,16930,20,20,33.66,3.66,36,2.9,2.9,6.18,4.2,5.69,1.37,1.37,1.4,0.03,1.42,0,0,0,0
