"instance","w","h","lots","land_cells","river_cells","preserve_cells","aptitude_classes","connected_components","batch_size","crossover_rate","keep_rate","new_rate","time","generations","seed","num_new_solutions","num_crossovers","num_mutations","num_solutions_explored","generation_best","time_to_best","time_avg","time_std_dev","time_initial","value_best","value_worst","value_avg","value_std_dev","value_initial","max_area_best","max_area_worst","max_area_avg","max_area_std_dev","max_area_initial","min_area_best","min_area_worst","min_area_avg","min_area_std_dev","min_area_initial","rivers_best","rivers_worst","rivers_avg","rivers_std_dev","rivers_initial","river_violations_best","river_violations_worst","river_violations_avg","river_violations_std_dev","river_violations_initial","size_ratio_best","size_ratio_worst","size_ratio_avg","size_ratio_std_dev","size_ratio_initial","convexity_best","convexity_worst","convexity_avg","convexity_std_dev","convexity_initial","num_empty_crossover_lots","num_disconnected_crossover_lots","num_empty_mutation_lots","num_disconnected_mutation_lots"
"400x400k40s16692",400,400,40,153235,6765,0,5,2,256,6,2,2,1800.04,0,1.4042703592492e+19,0,0,0,0,6085,922.02,0.15,0.02,0.12,155497.12,131061.99,122231.3,21014.98,100649.15,288,118,700.28,305.49,785,14151,12737,10961.26,2551.82,7721,11421,88009,49702.72,9463.5,52906,10,18,14.19,1.92,16,49.14,107.94,23.66,141.96,9.84,1.18,1.17,1.16,0.02,1.18,0,0,0,0
"400x400k60s16692",400,400,60,153235,6765,0,5,2,256,6,2,2,1800.11,0,14032635821846933504,0,0,0,0,3991,628.01,0.16,0.02,0.12,58189.09,105998.81,80599.11,11639.12,65173.91,188,130,407.82,177.39,176,6054,9715,7721.26,1766.67,5516,18932,68028,43448.12,6886.82,42431,14,23,18.13,2.22,17,32.2,74.73,26.54,41.2,31.34,1.16,1.18,1.16,0.01,1.17,0,0,0,0
"400x400k80s16692",400,400,80,153235,6765,0,5,2,256,6,2,2,1800.04,0,14032387990409195520,0,0,0,0,1733,276.82,0.16,0.02,0.12,50535.55,72140.56,60035.12,7754.1,43252.01,297,151,279.29,119.63,585,6822,7131,5975.44,1364.43,4462,19438,63795,39166.01,5616.78,28299,19,20,21.51,2.47,21,22.97,47.23,30.19,55.87,7.63,1.15,1.15,1.16,0.01,1.15,0,0,0,0
"500x500k100s32414",500,500,100,242511,5001,2488,7,7,256,6,2,2,1800.18,0,14060480542577666048,0,0,0,0,293,90.91,0.29,0.04,0.2,75027.21,80389.26,88488.63,11950.24,82569.49,386,78,332.64,142.77,306,9386,10257,7568.7,1499.63,6189,34472,100785,60190.28,8314.41,57585,21,32,25.99,2.78,25,24.32,131.5,30.94,39.03,20.23,1.16,1.14,1.15,0.01,1.16,0,0,0,0
"500x500k20s32414",500,500,20,242511,5001,2488,7,7,256,6,2,2,1800.19,0,14060480522820079616,0,0,0,0,2032,504.87,0.25,0.03,0.22,430286.55,453223.29,445921.31,112492.07,432736.35,1667,541,2837.09,1287.39,2228,28547,39065,31266.8,8236.51,26725,4064,205962,102604.66,28403.36,114168,2,14,9.83,1.7,11,17.12,72.21,15.73,18.96,12,1.17,1.19,1.16,0.03,1.12,0,0,0,0
"500x500k40s32414",500,500,40,242511,5001,2488,7,7,256,6,2,2,1800,0,14059397947512307712,0,0,0,0,4643,1146.98,0.25,0.03,0.2,297105.3,320926.12,221995.65,44533.53,236173.48,1124,417,1127.31,491.46,497,25474,22757,17014.96,4000.99,16494,25133,141163,84496.48,16814.58,54725,11,15,15.38,2.02,14,22.66,54.57,20.77,21.69,33.19,1.19,1.15,1.16,0.02,1.15,0,0,0,0
"500x500k60s32414",500,500,60,242511,5001,2488,7,7,256,6,2,2,1800.16,0,14059637300266498048,0,0,0,0,2165,559.85,0.26,0.04,0.21,117813.99,173002.01,147914.11,25077.66,111943.53,74,302,655.13,282.61,747,11471,15330,11943.34,2637.32,8995,32743,115330,73367.74,12334.86,70265,16,21,19.57,2.33,22,155.01,50.76,24.9,33.93,12.04,1.14,1.18,1.15,0.01,1.17,0,0,0,0
"500x500k80s32414",500,500,80,242511,5001,2488,7,7,256,6,2,2,1800.08,0,1.4059623599799e+19,0,0,0,0,4150,1153.27,0.28,0.03,0.12,89099.39,155524.51,111153.63,16504.09,114614.9,478,84,447.43,188.76,382,7567,12683,9274.11,1936.03,9898,28906,105479,65818.38,9792.75,46854,19,23,22.97,2.61,19,15.83,150.99,28.27,38.55,25.91,1.15,1.15,1.15,0.01,1.15,0,0,0,0
"600x600k100s6306",600,600,100,342444,17364,192,10,4,256,6,2,2,1800.15,0,14060461226067634176,0,0,0,0,653,271.09,0.41,0.06,0.32,139445.11,159329.86,140443.77,17140.45,113727.09,884,449,442.17,195.68,658,10489,19379,11223.87,2366.88,10227,73231,168539,121080.99,13997.92,134224,32,37,37.77,3.41,35,11.87,43.16,36.74,70.22,15.54,1.16,1.16,1.17,0.01,1.17,0,0,0,0
"600x600k20s6306",600,600,20,342444,17364,192,10,4,256,6,2,2,1800.07,0,14060480522831663104,0,0,0,0,4344,1532.07,0.35,0.04,0.29,1001741.44,965227.5,745722.06,193722.12,1168714.81,1546,704,3701.13,1766.15,2026,44185,46952,47194.82,13142.26,60311,1199,313002,171275.88,48939.95,127204,1,18,11.76,2.19,9,28.58,66.69,18.97,27.8,29.77,1.24,1.16,1.2,0.03,1.26,0,0,0,0
